artist.inverted,track,x1st.week
Santana,"Maria, Maria",15
Hanson,This Time Around,22
Pink,There U Go,25
"Carey, Mariah",Crybaby,28
"Elliott, Missy ""Misdemeanor""",Hot Boyz,36
"Martin, Ricky",She Bangs,38
"Backstreet Boys, The",Shape Of My Heart,39
"Dixie Chicks, The",Goodbye Earl,40
Madonna,Music,41
N'Sync,Bye Bye Bye,42
Madonna,American Pie,43
Guy,Dancin',46
Lil Bow Wow,Bounce With Me,48
Pearl Jam,Nothing As It Seems,49
No Doubt,Simple Kind Of Life,50
"Aguilera, Christina",I Turn To You,50
98ï¿½,Give Me Just One Night (Una Noche),51
Profyle,Liar,52
Jagged Edge,He Can't Love U,54
"John, Elton",Someday Out Of The Blue,56
504 Boyz,Wobble Wobble,57
"Aguilera, Christina",Come On Over Baby (All I Want Is You),57
"Backstreet Boys, The",The One,58
Jay-Z,I Just Wanna Love U (Give It 2 Me),58
Aaliyah,Try Again,59
Janet,Doesn't Really Matter,59
matchbox twenty,Bent,60
"Spears, Britney",Lucky,61
Avant,Separated,62
TLC,Dear Lie,63
Kid Rock,Only God Knows Why,63
"Braxton, Toni",He Wasn't Man Enough,63
"Iglesias, Enrique",Be With You,63
LFO,I Don't Wanna Kiss You Goodnight,63
"Simpson, Jessica",I Think I'm In Love With You,63
Bon Jovi,It's My Life,64
Vertical Horizon,You're A God,64
Third Eye Blind,Never Let You Go,65
Puff Daddy,Best Friend,65
Kandi,Don't Think I'm Not,66
"Spears, Britney",Oops!.. I Did It Again,67
"Badu, Erkyah",Bag Lady,67
Eiffel 65,Blue (Da Ba Dee),67
Sonique,It Feels So Good,67
N'Sync,This I Promise You,68
"Gray, Macy",I Try,68
Nine Days,If I Am,68
Usher,Pop Ya Collar,68
Hoku,Another Dumb Blonde,69
Jay-Z,Big Pimpin',69
"Moore, Mandy",I Wanna Be With You,69
Vertical Horizon,Everything You Want,70
Avant,My First Love,70
Bloodhound Gang,The Bad Touch,70
Eminem,The Real Slim Shady,70
Sugar Ray,Falls Apart,70
Splender,I Think God Can Explain,71
Savage Garden,I Knew I Loved You,71
"Rimes, LeAnn",Big Deal,71
"Aguilera, Christina",What A Girl Wants,71
Q-Tip,Breathe And Stop,71
"Houston, Whitney","Same Script, Different Cast",71
Da Brat,What'Chu Like,71
"Paisley, Brad",We Danced,71
"Strait, George",Go On,71
Red Hot Chili Peppers,Californication,72
Jay-Z,Anything,72
Beenie Man,Girls Dem Sugar,72
Mya,Case Of The Ex (Whatcha Gonna Do),72
M2M,Don't Say You Love Me,72
"Simpson, Jessica",Where You Are,73
"Strait, George",The Best Day,73
Blaque,Bring It All To Me,73
"Walker, Clay",The Chain Of Love,73
"McGraw, Tim",My Next Thirty Years,73
"Wallflowers, The",Sleepwalker,73
"Dion, Celine",That's The Way It Is,74
"Martin, Ricky",Shake Your Bon-Bon,74
Nas,You Owe Me,74
"Houston, Whitney",Could I Have This Kiss Forever,74
"Tippin, Aaron",Kiss This,74
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,74
Goo Goo Dolls,Broadway,74
Destiny's Child,Jumpin' Jumpin',74
"Offspring, The",Original Prankster,74
Sisqo,Thong Song,74
Papa Roach,Last Resort,75
Ideal,Whatever,75
"Vassar, Phil",Carlene,75
Savage Garden,Crash And Burn,75
Dr. Dre,Forgot About Dre,75
"Bega, Lou",Tricky Tricky ,75
"Chesney, Kenny",I Lost It,75
Sister Hazel,Change Your Mind,75
"Jackson, Alan",www.memory,75
"Thomas, Carl",I Wish,75
"Clark, Terri",A Little Gasoline,75
Common,The Light,75
"Jackson, Alan",It Must Be Love,76
"Spears, Britney",From The Bottom Of My Broken Heart,76
"Braxton, Toni",Just Be A Man About It,76
Train,Meet Virginia,76
3 Doors Down,Loser,76
"Adams, Yolanda",Open My Heart,76
"McGraw, Tim",Some Things Never Change,76
"Martin, Ricky",Private Emotion,76
Ruff Endz,No More,76
"Evans, Sara",Born To Fly,77
"Estefan, Gloria",No Me Dejes De Querer,77
"Keith, Toby",How Do You Like Me Now?!,77
Sisqo,Incomplete,77
"Anthony, Marc",You Sang To Me,77
Hot Boys,I Need A Hot Girl,77
Limp Bizkit,Rollin',77
D'Angelo,Untitled (How Does It Feel),77
"Thomas, Carl",Emotional,77
Everclear,Wonderful,77
"Rimes, LeAnn",I Need You,77
Jagged Edge,Let's Get Married,77
Barenaked Ladies,Pinch Me,77
"Eastsidaz, The",G'D Up,77
Joe,Treat Her Like A Lady,77
"Jean, Wyclef",911,77
SheDaisy,I Will.. But,78
"Kravitz, Lenny",I Belong To You,78
Black Rob,Whoa!,78
Eminem,Stan,78
Destiny's Child,Independent Women Part I,78
Lonestar,What About Now,78
"Messina, Jo Dee",That's The Way,78
Dr. Dre,The Next Episode,78
"Jackson, Alan",Pop A Top,79
Stone Temple Pilots,Sour Girl,79
Lil' Kim,How Many Licks?,79
"Chesney, Kenny",What I Need To Do,79
"Rogers, Kenny",Buy Me A Rose,79
R.E.M.,The Great Beyond,79
"Henley, Don",Taking You Home,79
"McBride, Martina",There You Are,79
"McBride, Martina",Love's The Only House,79
"Dixie Chicks, The",Cowboy Take Me Away,79
Alice Deejay,Better Off Alone,79
"Lopez, Jennifer",Feelin' Good,79
"Lawrence, Tracy",Lessons Learned,80
"Allan, Gary",Smoke Rings In The Dark,80
Son By Four,A Puro Dolor (Purest Of Pain),80
Third Eye Blind,Deep Inside Of You,80
Changing Faces,That Other Woman,80
Red Hot Chili Peppers,Otherside,80
Lucy Pearl,Dance Tonight,80
Lil' Kim,No Matter What They Say,80
"Dixie Chicks, The",Without You,80
"Dixie Chicks, The",Cold Day In July,80
Foo Fighters,Learn To Fly,80
Lonestar,Amazed,81
"Diffie, Joe",It's Always Somethin',81
"Byrd, Tracy",Put Your Hand In Mine,81
"Hill, Faith",Breathe,81
Creed,Higher,81
Kumbia Kings,U Don't Love Me,81
3 Doors Down,Kryptonite,81
"Urban, Keith",Your Everything,81
"Houston, Whitney",My Love Is Your Love,81
"Montgomery, John Michael",The Little Girl,81
"Vassar, Phil",Just Another Day In Paradise,81
"Jones, Donell",Where I Wanna Be,81
"Griggs, Andy",She's More,81
Vitamin C,Graduation (Friends Forever),81
"Keith, Toby",Country Comes To Town,82
"Carey, Mariah",Thank God I Found You,82
"Rimes, LeAnn",Can't Fight The Moonlight,82
SheDaisy,This Woman Needs,82
N'Sync,It's Gonna Be Me,82
"Gill, Vince",Feels Like Love,82
"Anthony, Marc",My Baby You,82
"Thomas, Carl",Summer Rain,82
"Price, Kelly",As We Lay,82
"Hill, Faith",Let's Make Love,83
"Blige, Mary J.",Deep Inside,83
"Houston, Whitney",I Learned From The Best,83
Destiny's Child,Say My Name,83
Lil' Zane,Callin' Me,83
"Messina, Jo Dee",Because You Love Me,83
Smash Mouth,Then The Morning Comes,83
IMx,Stay The Night,84
Aaliyah,I Don't Wanna,84
Counting Crows,Hanginaround,84
"Hollister, Dave",Can't Stay,84
Kelis,Caught Out There,84
Creed,With Arms Wide Open,84
"Adkins, Trace",More,84
"Levert, Gerald",Mr. Too Damn Good,84
Sammie,I Like It,85
"McGraw, Tim",My Best Friend,85
Nine Days,Absolutely (Story Of A Girl),85
"Williams, Robbie",Angels,85
"Yearwood, Trisha",Real Live Woman,85
Juvenile,U Understand,85
"Mumba, Samantha",Gotta Tell You,85
Next,Wifey,85
Pink,Most Girls,85
Mya,The Best Of Me,85
Ja Rule,Between Me And You,85
"Brooks, Garth",Do What You Gotta Do,86
Metallica,No Leaf Clover (Live),86
Vitamin C,The Itch,86
"Stone, Angie",No More Rain (In This Cloud),86
Yankee Grey,Another Nine Minutes,86
"Wright, Chely",It Was,86
Metallica,I Disappear,86
"Gilman, Billy",One Voice,86
Ice Cube,You Can Do It,86
Lox,"Ryde or Die, Chick",86
"Paisley, Brad",Me Neither,87
M2M,Mirror Mirror,87
"Black, Clint",Been There,87
Eminem,The Way I Am,87
2 Pac,Baby Don't Cry (Keep Ya Head Up II),87
Rascal Flatts,Prayin' For Daylight,87
Clark Family Experience,Meanwhile Back At The Ranch,87
Montgomery Gentry,Daddy Won't Sell The Farm,87
"McEntire, Reba",What Do You Say,88
DMX,Party Up (Up In Here),88
Blink-182,All The Small Things,89
Kenny G,Auld Lang Syne (The Millenium Mix),89
"Wills, Mark",Back At One,89
Musiq,Just Friends (Sunny),89
Ludacris,What's Your Fantasy,89
Lonestar,Smile,89
Eve,Got It All,89
"McEntire, Reba",I'll Be,89
Tamia,Can't Go For That,90
"Iglesias, Enrique",Rhythm Divine,90
Mary Mary,Shackles (Praise You),90
"Brock, Chad",Yes!,90
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),91
"Price, Kelly",You Should've Told Me,91
"Fabian, Lara",I Will Love Again,91
Limp Bizkit,Re-Arranged,91
"Raye, Collin",Couldn't Last A Moment,91
Filter,Take A Picture,91
Sisqo,Got To Get It,92
"Jordan, Montell",Get It On.. Tonite,92
Anastacia,I'm Outta Love,92
En Vogue,Riddle,92
"Price, Kelly",Love Sets You Free,92
Funkmaster Flex,Do You,92
"Brock, Chad",A Country Boy Can Survive,93
Da Brat,That's What I'm Looking For,93
D'Angelo,Left & Right,93
Limp Bizkit,N 2 Gether Now,94
"Carter, Torrey",Take That,94
Fatboy Slim,The Rockafeller Skank,94
Joe,I Wanna Know,94
Eve,Love Is Blind,94
Shyne,Bad Boyz,94
SoulDecision,Faded,94
Cam'ron,What Means The World To You,94
Ginuwine,None Of Ur Friends Business,94
"Spencer, Tracie",Still In My Heart,95
"Heatherly, Eric",Flowers On The Wall,95
Before Dark,Monica,95
Brooks & Dunn,You'll Always Be Loved By Me,95
"Walker, Clay","Live, Laugh, Love",95
Jay-Z,Do It Again (Put Ya Hands Up),95
Ying Yang Twins,Whistle While You Twurk,95
"McKnight, Brian",Stay Or Let It Go,95
LFO,West Side Story,96
J-Shin,One Night Stand,96
Westlife,Swear It Again,96
"Levert, Gerald",Baby U Are,96
"Sheist, Shade",Where I Wanna Be,96
De La Soul,All Good?,96
Big Punisher,It's So Hard,96
Nu Flavor,3 Little Words,97
Trina,Pull Over,97
A*Teens,Dancing Queen,97
"Blige, Mary J.",Give Me You,97
"Cyrus, Billy Ray",You Won't Be Lonely Now,97
SheDaisy,Deck The Halls,97
Mystikal,Shake Ya Ass,97
"Tritt, Travis",Best Of Intentions,97
Ginuwine,The Best Man I Can Be,97
"Davidson, Clay",Unconditional,97
"Moore, Chante",Straight Up,98
DMX,What's My Name,98
"Diffie, Joe",The Quittin' Kind,98
"Braxton, Toni",Spanish Guitar,98
Tuesday,I Know,98
Tamar,If You Don't Wanna Love Me,98
Sting,Desert Rose,98
"Loveless, Patty",That's The Kind Of Mood I'm In,98
DMX,What You Want,98
Madison Avenue,Don't Call Me Baby,98
Jay-Z,Hey Papi,98
Master P,Souljas,98
Ghostface Killah,Cherchez LaGhost,98
"Worley, Darryl",When You Need My Love,98
Dream,He Loves U Not,99
"Smith, Will",Freakin' It,99
Zombie Nation,Kernkraft 400,99
LL Cool J,Imagine That,99
BBMak,Back Here,99
Lil Wayne,Tha Block Is Hot,99
Trick Daddy,Shut Up,99
"Hart, Beth",L.A. Song,99
"Cagle, Chris",My Love Goes On And On,99
"Eastsidaz, The",Got Beef,99
"Carter, Aaron",Aaron's Party (Come Get It),99
Amber,Sexual (Li Da Di),99
Baha Men,Who Let The Dogs Out,99
Fragma,Toca's Miracle,99
Lil' Mo,Ta Da,100
"Herndon, Ty",No Mercy,100
"Larrieux, Amel",Get Up,100
Drama,"Left, Right, Left",100
Nelly,(Hot S**t) Country Grammar,100
